Date,Last
2019-01-04,252.44
2019-01-07,254.29
2019-01-08,256.72
2019-01-09,257.8
2019-01-10,258.96
2019-01-11,258.91
2019-01-14,257.45
2019-01-15,260.36
2019-01-16,260.9
2019-01-17,263.0
2019-01-18,266.44
2019-01-22,262.91
2019-01-23,263.31
2019-01-24,263.57
2019-01-25,265.74
2019-01-28,263.81
2019-01-29,263.44
2019-01-30,267.55
2019-01-31,269.97
2019-02-01,270.09
2019-02-04,272.02
2019-02-05,273.17
2019-02-06,272.72
2019-02-07,270.22
2019-02-08,270.54
2019-02-11,270.68
2019-02-12,274.1
2019-02-13,274.95
2019-02-14,274.34
2019-02-15,277.37
2019-02-19,277.82
2019-02-20,278.39
2019-02-21,277.39
2019-02-22,279.13
2019-02-25,279.46
2019-02-26,279.28
2019-02-27,279.24
2019-02-28,278.54
2019-03-04,279.46
2019-03-05,279.09
2019-03-06,277.27
2019-03-07,275.07
2019-03-08,274.51
2019-03-11,278.53
2019-03-12,279.4
2019-03-13,281.33
2019-03-14,281.21
2019-03-15,281.32
2019-03-18,282.43
2019-03-19,282.47
2019-03-20,281.56
2019-03-21,284.66
2019-03-22,279.3
2019-03-25,279.04
2019-03-26,280.99
2019-03-27,279.72
2019-03-28,280.74
2019-03-29,282.69
2019-04-01,285.85
2019-04-02,285.98
2019-04-03,286.51
2019-04-04,287.23
2019-04-05,288.55
2019-04-08,288.86
2019-04-09,287.3
2019-04-10,288.29
2019-04-11,288.23
2019-04-12,290.17
2019-04-15,289.98
2019-04-16,290.18
2019-04-17,289.48
2019-04-18,290.02
2019-04-22,290.3
2019-04-23,292.87
2019-04-24,292.24
2019-04-25,292.1
2019-04-26,293.48
2019-04-29,293.8
2019-04-30,294.0
2019-05-01,291.81
2019-05-02,291.26
2019-05-03,294.04
2019-05-06,292.86
2019-05-07,288.02
2019-05-08,287.56
2019-05-09,286.73
2019-05-10,287.98
2019-05-13,280.99
2019-05-14,283.3
2019-05-15,285.04
2019-05-16,287.55
2019-05-17,285.91
2019-05-20,284.03
2019-05-21,286.45
2019-05-22,285.64
2019-05-23,282.32
2019-05-28,280.17
2019-05-29,278.27
2019-05-30,278.98
2019-05-31,275.37
2019-06-03,274.61
2019-06-04,280.53
2019-06-05,282.88
2019-06-06,284.78
2019-06-10,288.98
2019-06-11,288.9
2019-06-12,288.3
2019-06-13,289.58
2019-06-14,289.23
2019-06-17,289.48
2019-06-18,292.33
2019-06-19,293.05
2019-06-20,295.87
2019-06-21,294.01
2019-06-24,293.67
2019-06-25,290.78
2019-06-26,290.51
2019-06-27,291.52
2019-06-28,293.08
2019-07-01,295.59
2019-07-02,296.45
2019-07-03,298.8
2019-07-05,298.26
2019-07-08,296.86
2019-07-09,297.23
2019-07-10,298.61
2019-07-11,299.32
2019-07-12,300.65
2019-07-15,300.84
2019-07-16,299.78
2019-07-17,297.78
2019-07-18,298.83
2019-07-19,297.22
2019-07-22,297.83
2019-07-23,299.97
2019-07-24,301.41
2019-07-25,299.96
2019-07-26,301.98
2019-07-29,301.49
2019-07-30,300.79
2019-07-31,297.21
2019-08-01,295.0
2019-08-02,292.62
2019-08-05,284.02
2019-08-06,287.8
2019-08-07,288.16
2019-08-08,293.59
2019-08-09,291.62
2019-08-12,288.12
2019-08-13,292.42
2019-08-14,283.96
2019-08-15,284.67
2019-08-16,288.85
2019-08-19,292.32
2019-08-20,290.02
2019-08-21,292.4
2019-08-22,292.32
2019-08-23,284.83
2019-08-26,287.96
2019-08-27,286.85
2019-08-28,288.8
2019-08-29,292.59
2019-08-30,292.45
2019-09-03,290.75
2019-09-04,293.99
2019-09-05,297.82
2019-09-06,298.1
2019-09-09,298.2
2019-09-10,298.09
2019-09-11,300.3
2019-09-12,301.37
2019-09-13,300.99
2019-09-16,300.2
2019-09-17,300.95
2019-09-18,301.1
2019-09-19,301.05
2019-09-20,298.09
2019-09-23,298.28
2019-09-24,295.91
2019-09-25,297.59
2019-09-26,296.99
2019-09-27,295.38
2019-10-01,293.32
2019-10-02,288.16
2019-10-03,290.45
2019-10-04,294.3
2019-10-07,293.1
2019-10-08,288.65
2019-10-09,291.11
2019-10-10,293.29
2019-10-11,296.26
2019-10-14,296.03
2019-10-15,298.88
2019-10-16,298.46
2019-10-17,299.21
2019-10-18,298.09
2019-10-21,300.03
2019-10-22,299.0
2019-10-23,299.83
2019-10-24,300.42
2019-10-25,301.59
2019-10-28,303.34
2019-10-29,303.14
2019-10-30,304.21
2019-10-31,303.29
2019-11-01,306.19
2019-11-04,307.37
2019-11-05,307.04
2019-11-06,307.07
2019-11-07,308.21
2019-11-08,308.97
2019-11-11,308.36
2019-11-12,308.96
2019-11-13,309.15
2019-11-14,309.54
2019-11-15,311.81
2019-11-18,311.98
2019-11-19,311.9
2019-11-20,310.83
2019-11-21,310.3
2019-11-22,311.02
2019-11-25,313.33
2019-11-26,314.02
2019-11-27,315.42
2019-11-29,314.31
2019-12-02,311.66
2019-12-03,309.51
2019-12-04,311.5
2019-12-05,312.09
2019-12-06,314.83
2019-12-09,313.9
2019-12-10,313.58
2019-12-11,314.33
2019-12-12,317.08
2019-12-13,317.29
2019-12-16,319.49
2019-12-17,319.57
2019-12-18,319.56
2019-12-19,320.87
2019-12-20,320.85
2019-12-23,321.27
2019-12-24,321.23
2019-12-26,322.94
2019-12-27,322.85
2019-12-30,321.13
2019-12-31,321.86
2020-01-02,324.87
2020-01-03,322.43
2020-01-06,323.68
2020-01-07,322.74
2020-01-08,324.39
2020-01-09,326.59
2020-01-10,325.64
2020-01-13,327.92
2020-01-14,327.42
2020-01-15,328.16
2020-01-16,330.86
2020-01-17,332.01
2020-01-21,331.29
2020-01-22,331.35
2020-01-23,331.8
2020-01-24,328.74
2020-01-27,323.51
2020-01-28,326.88
2020-01-29,326.62
2020-01-30,327.62
2020-01-31,321.75
2020-02-03,324.12
2020-02-04,329.06
2020-02-05,332.84
2020-02-06,333.93
2020-02-07,332.24
2020-02-10,334.75
2020-02-11,335.27
2020-02-12,337.44
2020-02-13,337.17
2020-02-14,337.6
2020-02-18,336.73
2020-02-19,338.32
2020-02-20,336.99
2020-02-21,333.45
2020-02-24,322.42
2020-02-25,312.59
2020-02-26,311.61
2020-02-27,297.68
2020-02-28,296.24
2020-03-02,308.9
2020-03-03,300.32
2020-03-04,313.05
2020-03-05,302.51
2020-03-06,297.46
2020-03-09,274.48
2020-03-10,288.39
2020-03-11,274.25
2020-03-12,247.91
2020-03-13,270.94
2020-03-16,239.75
2020-03-17,254.1
2020-03-18,241.23
2020-03-19,240.94
2020-03-20,228.95
2020-03-23,222.21
2020-03-24,242.0
2020-03-25,246.79
2020-03-26,261.14
2020-03-27,254.0
2020-03-30,261.56
2020-03-31,257.6
2020-04-01,246.04
2020-04-02,251.99
2020-04-03,247.95
2020-04-06,264.79
2020-04-07,265.18
2020-04-08,274.0
2020-04-09,278.22
2020-04-13,275.63
2020-04-14,283.8
2020-04-15,277.75
2020-04-16,278.96
2020-04-17,286.56
2020-04-20,281.76
2020-04-21,273.11
2020-04-22,279.04
2020-04-23,279.01
2020-04-24,282.89
2020-04-27,287.1
2020-04-28,285.69
2020-04-29,293.15
2020-04-30,290.26
2020-05-01,282.83
2020-05-04,283.59
2020-05-05,286.15
2020-05-06,284.37
2020-05-07,287.7
2020-05-08,292.51
2020-05-11,292.62
2020-05-12,286.55
2020-05-13,281.48
2020-05-14,285.04
2020-05-15,286.29
2020-05-18,294.94
2020-05-19,292.21
2020-05-20,296.99
2020-05-21,294.84
2020-05-22,295.48
2020-05-26,299.2
2020-05-27,303.55
2020-05-28,303.02
2020-05-29,304.04
2020-06-01,305.45
2020-06-02,308.08
2020-06-03,312.09
2020-06-04,311.34
2020-06-05,319.4
2020-06-08,323.15
2020-06-09,320.94
2020-06-10,319.03
2020-06-11,300.69
2020-06-12,304.33
2020-06-15,307.11
2020-06-16,312.95
2020-06-17,311.66
2020-06-19,308.53
2020-06-22,310.67
2020-06-23,311.99
2020-06-24,304.15
2020-06-25,307.31
2020-06-26,299.98
2020-06-29,304.44
2020-06-30,308.57
2020-07-01,310.6
2020-07-02,312.22
2020-07-06,317.01
2020-07-07,313.75
2020-07-08,316.16
2020-07-09,314.57
2020-07-10,317.62
2020-07-13,314.85
2020-07-14,318.89
2020-07-15,321.98
2020-07-16,320.86
2020-07-17,321.7
2020-07-20,324.27
2020-07-21,324.9
2020-07-22,326.82
2020-07-23,322.96
2020-07-24,320.91
2020-07-27,323.29
2020-07-28,321.27
2020-07-29,325.01
2020-07-30,323.96
2020-07-31,326.42
2020-08-03,328.67
2020-08-04,330.06
2020-08-05,332.03
2020-08-06,334.31
2020-08-07,334.57
2020-08-10,335.56
2020-08-11,332.8
2020-08-12,337.43
2020-08-13,336.82
2020-08-14,336.85
2020-08-17,337.9
2020-08-18,338.58
2020-08-19,337.13
2020-08-20,338.31
2020-08-21,339.45
2020-08-24,342.89
2020-08-25,344.12
2020-08-26,347.63
2020-08-27,348.33
2020-08-28,350.57
2020-08-31,349.37
2020-09-01,352.67
2020-09-02,357.78
2020-09-03,345.53
2020-09-04,342.52
2020-09-08,333.24
2020-09-09,339.78
2020-09-10,333.92
2020-09-11,334.1
2020-09-14,338.44
2020-09-15,340.12
2020-09-16,338.88
2020-09-17,335.84
2020-09-18,330.75
2020-09-21,327.13
2020-09-22,330.3
2020-09-23,322.54
2020-09-24,323.42
2020-09-25,328.68
2020-09-28,334.25
2020-09-29,332.43
2020-09-30,334.87
2020-10-01,336.97
2020-10-02,334.02
2020-10-05,339.75
2020-10-06,334.95
2020-10-07,340.75
2020-10-08,343.65
2020-10-09,346.73
2020-10-12,352.36
2020-10-13,350.17
2020-10-14,347.93
2020-10-15,347.54
2020-10-16,347.24
2020-10-19,342.13
2020-10-20,343.32
2020-10-21,342.65
2020-10-22,344.67
2020-10-23,345.64
2020-10-26,339.52
2020-10-27,338.33
2020-10-28,326.67
2020-10-29,330.0
2020-10-30,326.74
2020-11-02,330.16
2020-11-03,335.91
2020-11-04,343.46
2020-11-05,350.21
2020-11-06,350.19
2020-11-09,354.53
2020-11-10,354.07
2020-11-11,356.72
2020-11-12,353.33
2020-11-13,358.1
2020-11-16,362.45
2020-11-17,360.72
2020-11-18,356.25
2020-11-19,357.78
