Date,strategy,strike,call_price,exp_date,final_price,profit,bare,cum_profit,cum_bare
2022-12-30,1,382.0,8.21,2023-01-20,395.8800048828125,5.6700048828125205,5.6700048828125205,5.6700048828125205,5.6700048828125205
2023-01-04,1,384.0,7.46,2023-01-27,405.6799926757813,14.219992675781327,14.219992675781327,19.889997558593848,19.889997558593848
2023-01-05,1,379.0,8.5,2023-01-27,405.6799926757813,18.179992675781307,18.179992675781307,38.069990234375155,38.069990234375155
2023-01-06,1,388.0,7.72,2023-01-27,405.6799926757813,9.95999267578128,9.95999267578128,48.029982910156434,48.029982910156434
2023-01-09,1,388.0,7.46,2023-01-27,405.6799926757813,10.219992675781327,10.219992675781327,58.24997558593776,58.24997558593776
2023-01-11,0,395.0,9.11,2023-02-03,412.3500061035156,0.0,8.240006103515611,58.24997558593776,66.48998168945337
2023-01-12,0,397.0,7.6,2023-02-03,412.3500061035156,0.0,7.750006103515602,58.24997558593776,74.23998779296898
2023-01-13,0,398.0,7.41,2023-02-03,412.3500061035156,0.0,6.9400061035156,58.24997558593776,81.17999389648458
2023-01-18,1,392.0,7.5,2023-02-10,408.0400085449219,8.540008544921875,8.540008544921875,66.78998413085964,89.72000244140645
2023-01-19,1,389.0,7.73,2023-02-10,408.0400085449219,11.310008544921857,11.310008544921857,78.0999926757815,101.0300109863283
2023-01-20,0,396.0,7.17,2023-02-10,408.0400085449219,0.0,4.870008544921859,78.0999926757815,105.90001953125017
2023-01-23,0,401.0,6.9,2023-02-10,408.0400085449219,0.0,0.14000854492189774,78.0999926757815,106.04002807617206
2023-01-25,0,400.0,8.18,2023-02-17,407.260009765625,0.0,-0.9199902343750068,78.0999926757815,105.12003784179706
2023-01-26,0,405.0,7.44,2023-02-17,407.260009765625,0.0,-5.179990234374998,78.0999926757815,99.94004760742206
2023-01-27,0,406.0,7.29,2023-02-17,407.260009765625,0.0,-6.0299902343750205,78.0999926757815,93.91005737304704
2023-01-30,0,401.0,7.52,2023-02-17,407.260009765625,0.0,-1.2599902343749818,78.0999926757815,92.65006713867206
