Date,last_quote,strike,exp_price,exp_call_price,exp_price_min,exp_price_max,exp_price_std,exp_price_median,exp_price_q1,exp_price_q3,exp_price_kurtosis,exp_price_skew,days,r,prob_itm
2021-03-08,381.73,380.0,382.26457231666024,9.278140081042682,294.06355618266707,488.84294650286995,20.37935634203033,381.71036000672404,368.24143722760004,395.67367221922467,0.05518131429117501,0.16401708876461252,21,0.04,0.5337
2021-03-09,387.11,387.0,387.7135770083146,8.640543572859466,302.65638683785284,495.53326878634283,20.78665435747664,387.1684708986978,373.39074290408877,401.4303356541222,0.042945447388373026,0.16284665498386214,20,0.04,0.503242
2021-03-10,389.48,389.0,390.0366372860363,9.098800202802238,299.3089675032497,500.7104278280508,21.52674126840911,389.48236952563553,375.2075856974744,404.2176477291407,0.04192809399753061,0.16365380994428083,21,0.04,0.508904
2021-03-11,393.48,393.0,394.0204338578758,9.286561017580697,305.52828642605016,517.1347966410538,22.023050856146927,393.3867339284438,378.83643737751777,408.51060277568405,0.05132608672062977,0.17174950720533289,21,0.03,0.506926
2021-03-12,394.02,394.0,394.6364913931558,9.048841392900792,302.61098511227186,501.6899289039141,21.922277637784838,394.00691308914566,379.57160816641,409.0679582660749,0.05355296925650821,0.16604394234060485,20,0.04,0.500128
2021-03-15,396.46,396.0,397.0934187867422,9.470342850357547,306.1264290195971,518.4831034570241,22.380594252401284,396.4554194850332,381.66718826326564,411.85737146692486,0.044245998330807,0.1708367964986406,21,0.03,0.5081
2021-03-16,395.94,396.0,396.5485708697679,9.132489707567375,301.6046442905282,511.580561884818,22.238480094277588,395.96197253539884,381.23001936287284,411.1594805760942,0.06153604291350989,0.16511116182237798,20,0.02,0.499312
2021-03-17,397.24,397.0,397.87192013198984,9.533987170888096,304.15021192800407,528.8805594140118,22.842161579506232,397.2425694948336,382.1378666339032,412.8405460480663,0.06312755076010435,0.17199392182912754,21,0.01,0.504342
2021-03-18,391.34,391.0,391.97463752282925,9.449127970307838,293.66906020625555,511.6870644005963,22.494933258718614,391.3278088708153,376.47227938670176,406.757846190191,0.04802590096908421,0.16848992215851055,20,0.01,0.505704
2021-03-19,389.47,389.0,390.09919022262847,9.717333842548381,274.87020239673194,508.82366884792924,23.000864840002013,389.45552675516706,374.2246124825666,405.18622623500903,0.0553104871021155,0.17713597121769106,21,0.01,0.507694
2021-03-22,392.53,393.0,393.1927697466119,9.311865092217218,298.5323406636163,513.0209164914894,23.136276221176566,392.54135796281014,377.2597254044823,408.3581166474131,0.05603567156654865,0.17408550403039894,21,0.01,0.491958
2021-03-23,389.59,390.0,390.2018294284724,9.05697242015248,302.0519316847629,510.8962758340201,22.48218228318426,389.5767266555613,374.7353874058242,404.9913642348348,0.06592003952199077,0.17398004092313737,20,0.02,0.49259
2021-03-24,387.49,387.0,388.2285221292671,9.73766878564247,293.3720015602247,510.9505870232798,22.90884040919921,387.51306207711855,372.45790556769975,403.2559738889491,0.06999386540133701,0.18263442505834404,21,0.02,0.508866
2021-03-25,389.62,390.0,390.2499484459509,9.080896672204045,285.93948289105225,502.8515115919049,22.485542117598133,389.5834885140235,374.7693969978845,405.0013932425984,0.05992143352172885,0.17619660573921714,20,0.02,0.492632
2021-03-26,395.84,396.0,396.56370240123334,9.636790059611888,300.602691255815,518.5883203346275,23.486085903593793,395.86378691913984,380.40407060559147,411.9821866349898,0.04312638472672958,0.17974198656220755,21,0.02,0.497532
2021-03-29,395.76,395.0,396.43813938705534,9.964116710376311,298.2689525553531,518.1414698787333,23.207583510602703,395.75111412981937,380.4789746678058,411.6191363736216,0.0637817738303097,0.1797577466979484,21,0.02,0.512822
2021-03-30,394.78,395.0,395.3712476001297,9.176989817247106,300.0041795729025,514.0874950078976,22.573173603612716,394.72875621247283,379.8090050704914,410.1831115397992,0.058194320183292625,0.18016235387787194,20,0.02,0.495104
2021-03-31,396.19,395.0,396.93920026242836,10.23135761730218,304.60608788157714,522.7683477173987,23.231293490526145,396.26016640784724,380.9768506891495,412.1778664568525,0.05473664643498788,0.17747413653319447,21,0.01,0.522088
2021-04-01,400.53,400.0,401.1762080033547,9.52115404222829,308.20189245879845,523.2494615756823,22.419071821464094,400.5664565035768,385.7762171394756,415.8900930054251,0.04980169854436545,0.1656472678906977,20,0.01,0.510288
2021-04-05,406.27,405.0,406.96368930125533,10.24812735245481,312.123164782161,537.8772122159685,23.227774225812713,406.29607794864296,390.95436573462655,422.2159469168506,0.05376627378521581,0.17059239405378238,21,0.02,0.522326
2021-04-06,406.06,405.0,406.679462133114,9.60137498621623,314.5041771325084,514.0980404969943,21.96292301692706,406.04502259399544,391.5862542704026,421.1450185803616,0.03493595664935656,0.16032389272101466,20,0.03,0.519132
2021-04-07,406.57,405.0,407.23818531338475,10.068745740635302,313.9782304385652,525.4132885456329,22.393868481520002,406.63128492996884,391.79960065268483,421.980942477431,0.04627982182716961,0.16880084331448963,21,0.02,0.529058
2021-04-08,408.48,410.0,409.05363179634344,8.107470111807295,322.78500368363115,526.2182930583028,21.480925364422898,408.50570731319215,394.26894883467867,423.1998524985871,0.0466489316299068,0.15920581452043048,20,0.01,0.472182
